,Unnamed: 0,ImageId,No. Mask,Otsu,"BW:1, Colour:0","class: colour=0, BW=1, BW/light=2",Dimension,IoU RW,IoU Ncut,IoU Felzen,IoU U-Net
0,0,212b858a66f0d23768b8e3e1357704fc2f4cf4bbe7eed8cd59b5d01031d553e6,100,0.13386182598039215,1,1,"(520, 696, 3)",0.28167528336750236,0.03745065643923591,0.5028914638587949,0.6842601268335063
1,1,c169a7782a69ea2f38f64d2739de189e88adbcfd4a829721def8c89ecabe8b71,22,0.05111825980392157,1,1,"(360, 360, 3)",0.45489009865368074,0.0,0.6778973950026581,0.8015795206971678
2,2,3a508d2dc03db46e7f97a2a30eabb62ab2886f3cedfea303de8f6a42e50d20eb,21,0.1355545343137255,1,1,"(256, 256, 3)",0.5413466877008066,0.15995196324143693,0.6473612644665276,0.7916666666666667
3,3,f29fd9c52e04403cd2c7d43b6fe2479292e53b2f61969d25256d2d2aca7c6a81,199,0.07049632352941179,1,1,"(603, 1272, 3)",0.0,0.0,0.015213617652632131,0.03363413547237077
4,4,abd8dde78f8d37b68b28da67459371ed65f0a575523e94bc4ecbc88e6fedf0d0,14,0.4541207774203432,0,0,"(256, 320, 3)",0.08602941176470588,0.09142857142857143,0.08676470588235294,0.3203192640692641
5,5,e4537e7893e631f3ba6ae5b1023e24b233c78249a31c2f5e561f6c4cad88fcf6,21,0.13823529411764707,1,1,"(256, 256, 3)",0.40541792950488603,0.22270864964343223,0.6930474697716078,0.7607402597402597
6,6,573a657d5e5fcb9574a758b0ab34b09c79d7ba374ceb71227c3dc88f009a3f6b,27,0.10145526960784314,1,1,"(256, 256, 3)",0.37660490607230945,0.10342818389536965,0.4174070105772324,0.4199842828657928
7,7,9facc652efe19f634639585d692a53dd6c2a8e2f0c9baebdfd85b9b41ec58851,23,0.05121017156862745,1,1,"(360, 360, 3)",0.45845927951191107,0.0,0.44150084807979545,0.7768477990107113
8,8,db45946a4412a2137674ec075b6892ccd682b77826aba618210569bbc65cf2b0,21,0.12941942401960785,1,1,"(256, 256, 3)",0.6514816452896948,0.1666649220344873,0.591416357533299,0.8353246753246755
9,9,bb61fc17daf8bdd4e16fdcf50137a8d7762bec486ede9249d92e511fcb693676,37,0.6043758907781862,0,0,"(256, 320, 3)",0.21930106958286827,0.32759153384153383,0.22077787222434817,0.40157764406243823
10,10,f67e72b7fe0b1e3648ea745ffd395c80705c89b0c0c48227991fe6f5815b2a18,12,0.17534466911764707,1,1,"(256, 256, 3)",0.5879963092463093,0.41752172663937365,0.6532065457762053,0.6945830639948288
11,11,1e488c42eb1a54a3e8412b1f12cde530f950f238d71078f2ede6a85a02168e1f,10,0.490494771752451,0,0,"(256, 320, 3)",0.12755840455840456,0.2706959706959707,0.15440685045948205,0.4499631431519976
12,12,6fe2df6de1d962b90146c822bcefc84d0d3d6926fdfbacd3acdc9de830ee5622,206,0.0703125,1,1,"(520, 696, 3)",0.11570761003750354,0.0,0.5138898447674307,0.6919956695892661
13,13,76a372bfd3fad3ea30cb163b560e52607a8281f5b042484c3a0fc6d0aa5a7450,63,0.802734375,1,2,"(1024, 1024, 3)",0.021503164556962027,0.0,0.022967142261060666,0.2754836680717768
14,14,d1b173875e2261f55014bd27bd7174b9ae1c769338c1b31b5d737e9e60175993,9,0.2282781862745098,1,1,"(256, 256, 3)",0.7246843434343434,0.4785858585858585,0.6514285714285715,0.74
15,15,56d0da5b663ddd49955478c00ca03118c367ff7dd6a646b8c875b0acb207d1c5,24,0.07085631127450981,1,1,"(360, 360, 3)",0.42343261826489564,0.0,0.47079346579346576,0.7197069597069596
16,16,33d0a9b24c25852ce35274b4b1777484ccd21f44dbe35491cc926e5948c1ce3e,14,0.14468443627450986,1,1,"(256, 256, 3)",0.507694423223835,0.15637685843568197,0.7152777777777778,0.7550239234449759
17,17,7978812d0e2e034ee1f9c141f019705582fcaa290e4a01c6c75a62753285cb23,25,0.07048100490196077,1,1,"(360, 360, 3)",0.3656165256165256,0.0,0.7396273291925465,0.8538600288600289
18,18,f35ab34528e3e2d2589d24cbffc0e10024dfc474a68585d0b5feb7b05aa0067f,9,0.12069546568627453,1,1,"(256, 256, 3)",0.34372960372960376,0.23500000000000001,0.7253968253968254,0.8666666666666666
19,19,3b3f516ebc9a16cff287a5ffd3a1861a345a6d38bedbba74f1c0b0e0eac62afd,40,0.10276501225490196,1,1,"(256, 256, 3)",0.03787237431245345,0.006521739130434782,0.22719297962509324,0.3068440723766567
20,20,351771edfc5db5665ded8aa4940257276b6526663c76e3b60b92a52584d8943c,106,0.13185508578431376,1,1,"(520, 696, 3)",0.1232974316423805,0.044081289217259664,0.36420925683769195,0.4952439796230531
21,21,358e47eaa1e9222252793fe0fb8c77028d4e0d4360b95a07c9fe6df6a2066556,52,0.10618872549019608,1,1,"(256, 256, 3)",0.13114000919516744,0.06766128648472057,0.27839392758849013,0.4650051561511812
22,22,e5384c905e9879cb6e8ff5250fb03155bc1db035d8dde458eece9078b7de8ff1,28,0.07117800245098037,1,1,"(360, 360, 3)",0.30208243863416273,0.00909090909090909,0.6792699625448574,0.6396701649175411
23,23,97158b2fe38783d88d4e44ba1b7bc6c84f225f8b35fcccc2f9265c65f14e7c8b,15,0.25608149509803924,1,1,"(256, 256, 3)",0.6255263157894737,0.34493966817496224,0.5011211664152839,0.631578947368421
24,24,1b2bf5933b0fb82918d278983bee66e9532b53807c3638efd9af66d20a2bae88,11,0.20068933823529414,1,1,"(256, 256, 3)",0.5991985465514879,0.3727641231317702,0.5049822399822401,0.6864845938375351
25,25,8d9b4205ddb10fa49a2973b4f3a2dc6923407ae015081e1a52c4b4c2fe8faa53,33,0.1329733455882353,1,1,"(256, 256, 3)",0.49769089581648274,0.1524380245156996,0.6352674558467242,0.859583937525114
26,26,0bf33d3db4282d918ec3da7112d0bf0427d4eafe74b3ee0bb419770eefe8d7d6,29,0.5438229028799021,0,0,"(256, 320, 3)",0.3049056452059654,0.10007493532217641,0.32803391881256416,0.5672367558134365
27,27,04acab7636c4cf61d288a5962f15fa456b7bde31a021e5deedfbf51288e4001e,82,0.13334099264705884,1,1,"(256, 256, 3)",0.28540851871478823,0.06509431568117015,0.32473110369444935,0.5406907519816346
28,28,df33b11184427e05c8a450f921586685975fe975f57315e686a0f26fddb93db1,47,0.2249923406862745,1,1,"(256, 256, 3)",0.5117991946302428,0.20046794382004007,0.4575897165387989,0.5108746005718773
29,29,0a7d30b252359a10fd298b638b90cb9ada3acced4e0c0e5a3692013f432ee4e9,27,0.09450061274509802,1,1,"(256, 256, 3)",0.22983550612860956,0.07482084964843586,0.3525661410368919,0.5270062538175356
30,30,b2c5d8653c621207e97b699e5c4c05d13df4f02d9db3e594b1f0c22e5b746aae,24,0.09728860294117647,1,1,"(256, 256, 3)",0.25657129348939695,0.02857142857142857,0.438708093802906,0.700035263744646
